exercise,difficulty_level,target_muscle_group,primary_equipment,single_or_double_arm,continuous_or_alternating,grip,primary_exercise_classification
Stability Ball Dead Bug,Beginner,Abdominals,Stability Ball,Single Arm,Alternating,Neutral,Postural
Bodyweight Glute Bridge,Beginner,Glutes,Bodyweight,No Arms,Continuous,No Grip,Bodybuilding
Bodyweight Bird Dog,Beginner,Abdominals,Bodyweight,Single Arm,Alternating,Flat Palm,Postural
Stability Ball Russian Twist ,Beginner,Abdominals,Stability Ball,Double Arm,Continuous,Neutral,Unsorted*
Stability Ball Feet Elevated Crunch ,Beginner,Abdominals,Stability Ball,No Arms,Continuous,Head Supported,Unsorted*
Ring Hanging Knee Raise ,Intermediate,Abdominals,Gymnastic Rings,Double Arm,Continuous,Pronated,Calisthenics
Parallette Mountain Climber,Novice,Abdominals,Parallette Bars,Double Arm,Continuous,Neutral,Calisthenics
Parallette Push Up,Novice,Chest,Parallette Bars,Double Arm,Continuous,Neutral,Calisthenics
Bodyweight Knee Hover Bird Dog,Intermediate,Abdominals,Bodyweight,Single Arm,Alternating,Flat Palm,Postural
Stability Ball V Up Pass,Novice,Abdominals,Stability Ball,Double Arm,Continuous,Neutral,Unsorted*
Bodyweight Dead Bug,Beginner,Abdominals,Bodyweight,Single Arm,Alternating,No Grip,Postural
Bodyweight Alternating Heel Taps,Beginner,Abdominals,Bodyweight,Double Arm,Alternating,No Grip,Unsorted*
Bodyweight Flutter Kicks,Beginner,Abdominals,Bodyweight,No Arms,Continuous,No Grip,Unsorted*
Bodyweight Kneeling Forearm Plank,Beginner,Abdominals,Bodyweight,Double Arm,Continuous,Forearm,Calisthenics
Bodyweight Seated Ab Circles,Novice,Abdominals,Bodyweight,No Arms,Continuous,Flat Palm,Unsorted*
Ring Hanging Oblique Knee Raise,Intermediate,Abdominals,Gymnastic Rings,Double Arm,Continuous,Pronated,Calisthenics
Stability Ball Stir the Pot,Novice,Abdominals,Stability Ball,Double Arm,Continuous,Forearm,Unsorted*
Bodyweight Alternating Lateral Kick Through,Intermediate,Abdominals,Bodyweight,Double Arm,Alternating,Flat Palm,Animal Flow
Ring L Sit Hang Flutter Kicks ,Intermediate,Abdominals,Gymnastic Rings,Double Arm,Continuous,Pronated,Calisthenics
Slam Ball Russian Twist,Intermediate,Abdominals,Slam Ball,Double Arm,Continuous,Neutral,Unsorted*
Dumbbell Otis Up,Novice,Abdominals,Dumbbell,Double Arm,Continuous,Crush Grip,Unsorted*
Single Arm Dumbbell Side Plank Reach Through ,Advanced,Abdominals,Dumbbell,Single Arm,Continuous,Neutral,Unsorted*
Ab Wheel Kneeling Rollout,Novice,Abdominals,Ab Wheel,Double Arm,Continuous,Pronated,Unsorted*
Cable Seated Crunch,Novice,Abdominals,Cable,Double Arm,Continuous,Neutral,Unsorted*
Cable Kneeling Crunch,Novice,Abdominals,Cable,Double Arm,Continuous,Neutral,Unsorted*
Medicine Ball V Up,Novice,Abdominals,Medicine Ball,Double Arm,Continuous,Neutral,Unsorted*
Suspension Knee Tuck,Novice,Abdominals,Suspension Trainer,Double Arm,Continuous,Flat Palm,Unsorted*
Suspension Lateral Knee Tuck,Intermediate,Abdominals,Suspension Trainer,Double Arm,Continuous,Flat Palm,Unsorted*
Suspension Archer Row ,Novice,Shoulders,Suspension Trainer,Double Arm,Alternating,Neutral,Unsorted*
Single Arm Dumbbell Turkish Get Up,Intermediate,Abdominals,Dumbbell,Single Arm,Continuous,Neutral,Grinds
Bodyweight Bear Crawl,Novice,Abdominals,Bodyweight,Double Arm,Alternating,Flat Palm,Animal Flow
Stability Ball Knee Tuck,Novice,Abdominals,Stability Ball,Double Arm,Continuous,Flat Palm,Unsorted*
Ring Hanging Leg Raise ,Advanced,Abdominals,Gymnastic Rings,Double Arm,Continuous,Pronated,Calisthenics
Parallette L Sit,Advanced,Abdominals,Parallette Bars,Double Arm,Continuous,Neutral,Calisthenics
Bodyweight Standing Walkout Plank,Intermediate,Abdominals,Bodyweight,Double Arm,Alternating,Flat Palm,Calisthenics
Ring Eccentric Pull Up,Novice,Back,Gymnastic Rings,Double Arm,Continuous,Pronated,Calisthenics
Barbell Climb,Expert,Abdominals,Barbell,Double Arm,Alternating,Neutral,Calisthenics
Bodyweight Ipsilateral Bird Dog,Advanced,Abdominals,Bodyweight,Single Arm,Continuous,Flat Palm,Unsorted*
Bodyweight Copenhagen Plank Knee to Elbow,Advanced,Adductors,Bodyweight,Single Arm,Continuous,Forearm,Unsorted*
Ring Eccentric Chin Up,Novice,Biceps,Gymnastic Rings,Double Arm,Continuous,Supinated,Calisthenics
Single Arm Dumbbell Seated Shoulder External Rotation,Novice,Shoulders,Dumbbell,Single Arm,Continuous,Pronated,Unsorted*
